timestamps,open,high,low,close,volume
2025-09-25 16:30:00,199.099,199.91,198.919,199.359,17774
2025-09-25 16:45:00,199.359,199.76,198.3,198.68,19692
2025-09-25 17:00:00,198.64,198.92,196.88,196.88,34870
2025-09-25 17:15:00,196.879,197.9247,195.597,196.92,63314
2025-09-25 17:30:00,196.809,197.45,194.3,196.049,51132
2025-09-25 17:45:00,196.06,196.71,193.5,194.819,58162
2025-09-25 18:00:00,194.808,196.33,194.438,196.19,35960
2025-09-25 18:15:00,196.17,198.21,195.61,197.8,47752
2025-09-25 18:30:00,197.759,198.49,197.138,198.03,23590
2025-09-25 18:45:00,198.0,199.56,197.55,199.439,22362
2025-09-25 19:00:00,199.4,199.725,198.909,199.02,13954
2025-09-25 19:15:00,199.009,200.8261,198.759,200.3,24808
2025-09-25 19:30:00,200.37,200.8519,198.579,199.199,19764
2025-09-25 19:45:00,199.24,199.24,197.33,197.94,17451
2025-09-25 20:00:00,198.1,198.46,197.498,198.13,7721
2025-09-25 20:15:00,198.11,198.67,196.818,197.089,12282
2025-09-25 20:30:00,197.07,197.11,195.849,196.43,14364
2025-09-25 20:45:00,196.4505,196.84,195.2,196.2,12609
2025-09-25 21:00:00,196.219,197.331,195.679,196.309,10701
2025-09-25 21:15:00,196.33,197.0,195.469,195.839,5723
2025-09-25 21:30:00,195.8,196.1,194.678,195.519,11388
2025-09-25 21:45:00,195.59,196.67,195.59,196.279,5670
2025-09-25 22:00:00,196.309,197.24,195.749,197.222,6844
2025-09-25 22:15:00,197.22,197.49,195.959,196.14,4854
2025-09-25 22:30:00,196.11,196.179,195.0948,195.32,3472
2025-09-25 22:45:00,195.2,195.2,193.828,194.549,8618
2025-09-25 23:00:00,194.628,195.99,194.5,194.979,5483
2025-09-25 23:15:00,195.09,195.2,193.838,194.36,4062
2025-09-25 23:30:00,194.398,194.398,191.158,192.499,22976
2025-09-25 23:45:00,192.318,192.699,191.618,192.669,12174
2025-09-26 00:00:00,192.659,194.799,192.569,194.478,9280
2025-09-26 00:15:00,194.438,195.649,194.429,194.919,6966
2025-09-26 00:30:00,194.878,194.929,192.538,192.619,12237
2025-09-26 00:45:00,192.629,195.9,192.478,195.65,20992
2025-09-26 01:00:00,195.659,196.88,195.279,196.579,18082
2025-09-26 01:15:00,196.579,197.13,195.948,196.039,10574
2025-09-26 01:30:00,195.989,196.47,195.077,195.649,15157
2025-09-26 01:45:00,195.69,196.41,195.239,195.829,10825
2025-09-26 02:00:00,195.84,197.321,195.439,196.21,14666
2025-09-26 02:15:00,196.159,197.24,195.8,195.93,11650
2025-09-26 02:30:00,195.8,196.68,195.339,196.5175,8972
2025-09-26 02:45:00,196.55,197.489,196.159,196.39,12858
2025-09-26 03:00:00,196.39,196.82,195.349,196.729,12538
2025-09-26 03:15:00,196.78,197.29,196.319,196.4,9628
2025-09-26 03:30:00,196.329,196.48,195.059,195.899,13066
2025-09-26 03:45:00,195.9295,196.65,195.289,196.43,11942
2025-09-26 04:00:00,196.36,196.84,195.759,196.488,9606
2025-09-26 04:15:00,196.489,197.34,196.239,196.499,9207
2025-09-26 04:30:00,196.5,196.54,195.018,195.25,14275
2025-09-26 04:45:00,195.259,195.99,195.15,195.65,9030
2025-09-26 05:00:00,195.659,196.78,195.549,196.559,8073
2025-09-26 05:15:00,196.58,197.24,196.58,196.959,10338
2025-09-26 05:30:00,196.84,196.899,195.659,195.83,12524
2025-09-26 05:45:00,195.87,196.04,194.314,195.018,28524
2025-09-26 06:00:00,195.029,195.73,193.678,194.739,25347
2025-09-26 06:15:00,194.748,196.93,194.738,196.19,22835
2025-09-26 06:30:00,196.15,196.46,195.669,196.069,7711
2025-09-26 06:45:00,196.039,196.039,194.918,195.17,14638
2025-09-26 07:00:00,195.21,196.603,195.049,196.46,8879
2025-09-26 07:15:00,196.5,196.7707,195.729,195.7309,10078
2025-09-26 07:30:00,195.67,195.67,193.999,194.829,18176
2025-09-26 07:45:00,194.788,196.3195,194.577,196.297,8748
2025-09-26 08:00:00,196.249,196.89,196.13,196.42,15781
2025-09-26 08:15:00,196.39,196.94,195.727,196.351,13764
2025-09-26 08:30:00,196.32,196.572,195.8,196.38,6616
